Harmonized Variable,Study Mapped,Variable Field Name,Variable Description,Missing Samples (%)
AFIB,ARIC,atrfib11.af,Atrial fibrillation,-
AFIB,ARIC,afincps13.afinc,Incident AF,2.1927486
AFIB,ARIC,afincps13.ttaf,time to incident af,2.1927486
AFIB,ARIC,atrfib21.af,Atrial fibrillation,-
AFIB,ARIC,afincps13.afinc,Incident AF,2.1927486
AFIB,ARIC,afincps13.ttaf,time to incident af,2.1927486
AFIB,ARIC,derive2_10.v2days,DAYS SINCE EXAM 1,-
AFIB,ARIC,atrfib31.af,Atrial fibrillation,-
AFIB,ARIC,afincps13.afinc,Incident AF,2.1927486
AFIB,ARIC,afincps13.ttaf,time to incident af,2.1927486
AFIB,ARIC,derive37.v3days,DAYS SINCE EXAM 1,-
AFIB,ARIC,atrfib41.af,Atrial fibrillation,-
AFIB,ARIC,afincps13.afinc,Incident AF,2.1927486
AFIB,ARIC,afincps13.ttaf,time to incident af,2.1927486
AFIB,ARIC,derive47.v4days,DAYS SINCE EXAM 1,-
AFIB,Framingham,ex1_1d_v3.a158,ATRIAL FIBRILLATION,0.040096231
AFIB,Framingham,ex1_2d_v3.b269,D205-026-ATRIAL-FIBRILLATION,0.319829424
AFIB,Framingham,ex1_3d_v1.c302,ATRIAL FIBRILLATION ON ECG,0.132908028
AFIB,Framingham,ex1_4d_v1.d306,ECG-ATRIAL FIBRILLATION,0.128139416
AFIB,Framingham,ex1_5d_v1.e589,ECG-RHYTHM,0.027114968
AFIB,Framingham,ex1_6d_v1.f584,ECG-RHYTHM,-
AFIB,Framingham,ex1_7d_v2.g362,ECG - RHYTHM,0.086306099
AFIB,Framingham,e_exam_ex08_1_0005d.h309,ECG - RHYTHM,0.033500838
AFIB,Framingham,e_exam_ex09_1b_0844d.j364,ECG - RHYTHM,0.148864905
AFIB,MESA,mesae1dres20220813.afib1c,ATRIAL FIBRILLATION / FLUTTER BY NOVACODE,0.719107719
AFIB,MESA,mesaevaffu10_drepos_2015416.afib,Atrial Fibrillation Diagnosis (via ICD10 Code),-
AFIB,MESA,mesaevaffu10_drepos_2015416.afibtt,Atrial Fibrillation (via ICD10 Code): Time from Baseline to Diagnosis (Days),0.058702671
AFIB,MESA,mesaevaffu10_drepos_2015416.afib,Atrial Fibrillation Diagnosis (via ICD10 Code),-
AFIB,MESA,mesaevaffu10_drepos_2015416.afibtt,Atrial Fibrillation (via ICD10 Code): Time from Baseline to Diagnosis (Days),0.058702671
AFIB,MESA,mesae2dres06222012.e12dyc,"Time between exam visits, in days",8.526562959
AFIB,MESA,mesaevaffu10_drepos_2015416.afib,Atrial Fibrillation Diagnosis (via ICD10 Code),-
AFIB,MESA,mesaevaffu10_drepos_2015416.afibtt,Atrial Fibrillation (via ICD10 Code): Time from Baseline to Diagnosis (Days),0.058702671
AFIB,MESA,mesae3dres06222012.e13dyc,"Time between first and third visits, in days",12.72380393
AFIB,MESA,mesaevaffu10_drepos_2015416.afib,Atrial Fibrillation Diagnosis (via ICD10 Code),-
AFIB,MESA,mesaevaffu10_drepos_2015416.afibtt,Atrial Fibrillation (via ICD10 Code): Time from Baseline to Diagnosis (Days),0.058702671
AFIB,MESA,mesae4dres06222012.e14dyc,"Time between first and fourth visits, in days",14.61696507
AFIB,MESA,mesae5_drepos_20220820.afib5c,ECG ATRIAL FIBRILLATION / FLUTTER,2.184054283
AFIB,MESA,mesaevaffu10_drepos_2015416.afib,Atrial Fibrillation Diagnosis (via ICD10 Code),-
AFIB,MESA,mesaevaffu10_drepos_2015416.afibtt,Atrial Fibrillation (via ICD10 Code): Time from Baseline to Diagnosis (Days),0.058702671
AFIB,MESA,mesae5_drepos_20220820.e15dyc,"TIME BETWEEN FIRST AND FIFTH VISITS, IN DAYS",-
AFIB,REGARDS,baseline_calculated_variables.AFIB_ECG,-,-
AFIB,REGARDS,baseline_calculated_variables.AFIB_SR,-,-
AGE,ARIC,derive13.v1age01,AGE AT VISIT 1,-
AGE,ARIC,derive2_10.v2age22,Age at Visit 2,-
AGE,ARIC,derive37.v3age31,Age at Visit 3,-
AGE,ARIC,derive47.v4age41,Age at Visit 4,-
AGE,ARIC,derive51.v5age52,Corrected Visit 5 age,-
AGE,Framingham,vr_wkthru_ex09_1_1001d.age1,"Age (years), Exam 1",-
AGE,Framingham,vr_wkthru_ex09_1_1001d.age2,"Age (years), Exam 2",24.77947073
AGE,Framingham,vr_wkthru_ex09_1_1001d.age3,"Age (years), Exam 3",24.57898958
AGE,Framingham,vr_wkthru_ex09_1_1001d.age4,"Age (years), Exam 4",21.77225341
AGE,Framingham,vr_wkthru_ex09_1_1001d.age5,"Age (years), Exam 5",26.06255012
AGE,Framingham,vr_wkthru_ex09_1_1001d.age6,"Age (years), Exam 6",31.61587811
AGE,Framingham,vr_wkthru_ex09_1_1001d.age7,"Age (years), Exam 7",30.3127506
AGE,Framingham,vr_wkthru_ex09_1_1001d.age8,"Age (years), Exam 8",40.1563753
AGE,Framingham,vr_wkthru_ex09_1_1001d.age9,"Age (years), Exam 9",51.88452285
AGE,MESA,mesae1dres20220813.age1c,AGE,-
AGE,MESA,mesae2dres06222012.age2c,AGE AT EXAM 2,8.526562959
AGE,MESA,mesae3dres06222012.age3c,AGE AT EXAM3,12.72380393
AGE,MESA,mesae4dres06222012.age4c,Age at exam 4,14.61696507
AGE,MESA,mesae5_drepos_20220820.age5c,AGE AT EXAM 5,-
AGE,REGARDS,baseline_calculated_variables.AGE,-,-
ALCOHOL,ARIC,dtia.dtia90,DRINK ALCOHOLIC BEVERAGE Q90,-
ALCOHOL,ARIC,dtia.dtia96,NO OF GLASSES WINE CONSUMED P WK Q96,43.73831776
ALCOHOL,ARIC,dtia.dtia97,NO OF CANS OF BEER CONSUMED P WK Q97,43.71161549
ALCOHOL,ARIC,dtia.dtia98,NO OF HARD LIQUOR DRINKS PER WK Q98,43.76502003
ALCOHOL,ARIC,phxb04.phxb14,EVER CONSUMED ALCOHOLIC BEVERAGES Q14,-
ALCOHOL,ARIC,phxb04.phxb15,DRINK ALCOHOL NOW Q15,-
ALCOHOL,ARIC,phxb04.phxb17a,USUAL # OF GLASSES WINE/WK Q17A,50.96950387
ALCOHOL,ARIC,phxb04.phxb18a,USUAL # OF BEERS PER WEEK Q18A,50.99681384
ALCOHOL,ARIC,phxb04.phxb19a,USUAL # OF HARD LIQUOR DRINKS/WK Q19A,50.99681384
ALCOHOL,Framingham,ex1_3d_v1.c452,Total Alcohol Consumption,0.292397661
ALCOHOL,Framingham,vr_ffreq_ex06_1_0506d.ffd114,BEER:(servings/week),0.886990802
ALCOHOL,Framingham,vr_ffreq_ex06_1_0506d.ffd115,RED WINE:(servings/week),0.525624179
ALCOHOL,Framingham,vr_ffreq_ex06_1_0506d.ffd116,WHITE WINE:(servings/week),0.591327201
ALCOHOL,Framingham,vr_ffreq_ex06_1_0506d.ffd117,LIQUOR:(servings/week),0.229960578
ALCOHOL,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd114,BEER:(servings/week),1.115656378
ALCOHOL,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd115,RED WINE:(servings/week),0.483451097
ALCOHOL,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd116,WHITE WINE:(servings/week),0.520639643
ALCOHOL,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd117,LIQUOR:(servings/week),0.037188546
ALCOHOL,MESA,mesae1dres20220813.alcwk1c,# DRINKS PER WEEK (CURRENT AND FORMER DRINKERS),21.44115057
ALCOHOL,REGARDS,baseline_calculated_variables.ALC_DRINKS_WK,-,1.961368983
ANYCHOLMED,ARIC,derive13.cholmdcode01,Cholesterol lowering medication w/in 2wks: Using 2004 Med Code -V1,0.759797387
ANYCHOLMED,ARIC,derive2_10.cholmdcode21,Cholesterol lowering medication w/in 2wks: Using 2004 Med Code -V2,0.308710033
ANYCHOLMED,ARIC,derive37.cholmdcode31,Cholesterol lowering medication w/in 2wks: Using 2004 Med Code -V3,0.205153455
ANYCHOLMED,ARIC,derive47.cholmdcode41,Cholesterol lowering medication w/in 2wks: Using 2004 Med Code -V4,0.391442877
ANYCHOLMED,ARIC,msr.msrf33e,Medication taken for high blood cholesterol,-
ANYCHOLMED,Framingham,ex1_5d_v1.e249,ANTI CHOLESTEROL DRUGS-OTHER,0.054229935
ANYCHOLMED,Framingham,ex1_6d_v1.f209,MEDS - ANTI-CHOL -RESINS,0.029316916
ANYCHOLMED,Framingham,ex1_6d_v1.f210,MEDS - ANTI-CHOL -NIACIN/NICOTINIC ACID,0.029316916
ANYCHOLMED,Framingham,ex1_6d_v1.f211,MEDS - ANTI-CHOL -FIBRATES,0.029316916
ANYCHOLMED,Framingham,ex1_5d_v1.e247,ANTI CHOLESTEROL DRUGS-FIBRATES,0.027114968
ANYCHOLMED,Framingham,ex1_5d_v1.e248,ANTI CHOLESTEROL DRUGS-STATINS,0.027114968
ANYCHOLMED,Framingham,ex1_1d_v3.a80,ANTI-CHOLESTEROL AGENTS,0.481154772
ASPIRIN,ARIC,derive13.aspirincode01,"Used Aspirin-containing analgesics (at Visit 1) in last 2 weeks (0=No, 1=Yes), based on 2004 Med Code",0.866435617
ASPIRIN,ARIC,derive2_10.aspirincode21,"Used Aspirin-containing analgesics (at Visit 2) in last 2 weeks (0=No, 1=Yes), based on 2004 Med Code",0.323410511
ASPIRIN,ARIC,derive37.aspirincode31,"Used Aspirin-containing analgesics (at Visit 3) in last 2 weeks (0=No, 1=Yes), based on 2004 Med Code",0.262596422
ASPIRIN,ARIC,derive47.aspirincode41,"Used Aspirin-containing analgesics (at Visit 4) in last 2 weeks (0=No, 1=Yes), based on 2004 Med Code",0.409649522
ASPIRIN,ARIC,msr.msrf34,Aspirin taken in last 4 weeks,-
ASPIRIN,Framingham,ex1_5d_v1.e218,NUMBER OF ASPIRINS PER TIME INTERVAL,0.569414317
ASPIRIN,Framingham,ex1_5d_v1.e219,TIME INTERVAL FOR ASPIRIN TAKEN,0.921908894
ASPIRIN,Framingham,ex1_6d_v1.f181,NUMBER OF ASPIRINS TAKEN REGULARLY,0.35180299
ASPIRIN,Framingham,ex1_6d_v1.f182,ASPIRIN FREQUENCY,0.322486075
ASPIRIN,Framingham,ex1_7d_v2.g038,NUMBER OF ASPIRINS TAKEN REGULARLY,0.115074799
ASPIRIN,Framingham,ex1_7d_v2.g039,ASPIRIN FREQUENCY,0.172612198
ASPIRIN,Framingham,e_exam_ex08_1_0005d.h011,Number aspirins taken regularly,0.167504188
ASPIRIN,Framingham,e_exam_ex08_1_0005d.h012,Aspirin Frequency per,0.201005025
ASPIRIN,Framingham,vr_meds_ex08_1_0280d.atc_cod1,ATC CODE FOR MEDICATION OR FIRST DRUG IN COMPOUND,-
ASPIRIN,Framingham,vr_meds_ex08_1_0280d.atc_cod2,ATC CODE FOR SECOND DRUG IN COMPOUND,-
ASPIRIN,Framingham,vr_meds_ex08_1_0280d.atc_cod3,ATC CODE FOR THIRD DRUG IN COMPOUND,-
ASPIRIN,Framingham,vr_meds_ex08_1_0280d.atc_cod4,ATC CODE FOR FOURTH DRUG IN COMPOUND,-
ASPIRIN,Framingham,e_exam_ex09_1b_0844d.j011,"MEDS - ASPIR, # OF",0.558243394
ASPIRIN,Framingham,e_exam_ex09_1b_0844d.j012,"MEDS - ASPIR, PER DY/WK/MO/YR",0.632675847
ASPIRIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod1,ATC code for medication or first drug in compound,-
ASPIRIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod2,ATC code for medication or second drug in compound,-
ASPIRIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod3,ATC code for medication or third drug in compound,-
ASPIRIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod4,ATC code for medication or fourth drug in compound,-
ASPIRIN,MESA,mesae1dres20220813.asa1c,Aspirin from 280804 (anti-inflam agents),0.044027003
