Matched phv,TOPMed Study,TOPMed Harmonized Variable,dbGap Variable Description,dbGap Variable Name,TOPMed Component ID,dbGap phs,dbGap phv,dbGap pht,dbGap pht Name,dbGap Study Name
phv00036469,FHS,pad_incident_1,Event Number,EVENT,phs000007.v30.pht000309.v13.phv00036469.v12,phs000007.v33.p14,phv00036469.v15.p14,pht000309.v16.p14,vr_soe_2020_a_1340s,Framingham Cohort
phv00036471,FHS,pad_incident_1,Date of Event,DATE,phs000007.v30.pht000309.v13.phv00036471.v12,phs000007.v33.p14,phv00036471.v15.p14,pht000309.v16.p14,vr_soe_2020_a_1340s,Framingham Cohort
phv00177930,FHS,pad_incident_1,Age at Exam 1,age1,phs000007.v30.pht003099.v5.phv00177930.v5,phs000007.v33.p14,phv00177930.v8.p14,pht003099.v8.p14,vr_dates_2019_a_1175s,Framingham Cohort
phv00190817,FHS,pad_incident_1,Cardiovascular Disease (CVD) status,cvd,phs000007.v30.pht003316.v7.phv00190817.v7,phs000007.v33.p14,phv00190817.v10.p14,pht003316.v10.p14,vr_survcvd_2019_a_1334s,Framingham Cohort
phv00190823,FHS,pad_incident_1,Date of Cardiovascular Disease (CVD) status,cvddate,phs000007.v30.pht003316.v7.phv00190823.v7,phs000007.v33.p14,phv00190823.v10.p14,pht003316.v10.p14,vr_survcvd_2019_a_1334s,Framingham Cohort
phv00078436,WHI,pad_incident_1,F2 Days since randomization,F2DAYS,phs000200.v11.pht000998.v6.phv00078436.v6,phs000200.v12.p3,phv00078436.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00078437,WHI,pad_incident_1,Age at screening,AGE,phs000200.v11.pht000998.v6.phv00078437.v6,phs000200.v12.p3,phv00078437.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00192302,WHI,pad_incident_1,Extension 2 MRC Participant,EXT2MRC,phs000200.v11.pht003395.v3.phv00192302.v3,phs000200.v12.p3,phv00192302.v3.p3,pht003395.v3.p3,ext_rel2,Women's Health Initiative
phv00193101,WHI,pad_incident_1,PAD diagnosis,PADDX,phs000200.v11.pht003406.v3.phv00193101.v3,phs000200.v12.p3,phv00193101.v4.p3,pht003406.v4.p3,outc_cardio_rel4,Women's Health Initiative
phv00193102,WHI,pad_incident_1,Ultrasonography or angiography,PADPLAQ,phs000200.v11.pht003406.v3.phv00193102.v3,phs000200.v12.p3,phv00193102.v4.p3,pht003406.v4.p3,outc_cardio_rel4,Women's Health Initiative
phv00193103,WHI,pad_incident_1,No Doppler pulse in vessels,PADABDOP,phs000200.v11.pht003406.v3.phv00193103.v3,phs000200.v12.p3,phv00193103.v4.p3,pht003406.v4.p3,outc_cardio_rel4,Women's Health Initiative
phv00193104,WHI,pad_incident_1,Positive exercise test,PADEXER,phs000200.v11.pht003406.v3.phv00193104.v3,phs000200.v12.p3,phv00193104.v4.p3,pht003406.v4.p3,outc_cardio_rel4,Women's Health Initiative
phv00193105,WHI,pad_incident_1,"Surgery, angioplasty or thromb",PADSURG,phs000200.v11.pht003406.v3.phv00193105.v3,phs000200.v12.p3,phv00193105.v4.p3,pht003406.v4.p3,outc_cardio_rel4,Women's Health Initiative
phv00193106,WHI,pad_incident_1,PAD Amputation of one or more toes,PADAMP,phs000200.v11.pht003406.v3.phv00193106.v3,phs000200.v12.p3,phv00193106.v4.p3,pht003406.v4.p3,outc_cardio_rel4,Women's Health Initiative
phv00193107,WHI,pad_incident_1,Exertional leg pain,PADLEG,phs000200.v11.pht003406.v3.phv00193107.v3,phs000200.v12.p3,phv00193107.v4.p3,pht003406.v4.p3,outc_cardio_rel4,Women's Health Initiative
phv00193190,WHI,pad_incident_1,PAD,PERIPH,phs000200.v11.pht003407.v3.phv00193190.v3,phs000200.v12.p3,phv00193190.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193191,WHI,pad_incident_1,Days enrollment to PAD,PERIPHDY,phs000200.v11.pht003407.v3.phv00193191.v3,phs000200.v12.p3,phv00193191.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
phv00193504,WHI,pad_incident_1,Days enrollment to end of Ext1 followup,ENDEXT1DY,phs000200.v11.pht003407.v3.phv00193504.v3,phs000200.v12.p3,phv00193504.v4.p3,pht003407.v4.p3,outc_ct_os_rel4,Women's Health Initiative
